%time,field.Header.seq,field.Header.stamp,field.Header.frame_id,field.Latitude,field.Longitude,field.Altitude,field.utm_easting,field.utm_northing,field.zone,field.letter
1698235993309898538,0,1698235993308812618,GPS1_Frame,42.3371,-71.08981833333333,15.7,327839.0740604431,4689320.221167487,19.0,T
1698235994292320409,0,1698235994291331291,GPS1_Frame,42.33707,-71.08981833333333,15.7,327838.99219104304,4689316.889896007,19.0,T
1698235995292799407,0,1698235995291757822,GPS1_Frame,42.337043333333334,-71.08980666666666,15.6,327839.88056884904,4689313.905144643,19.0,T
1698235996309584306,0,1698235996308643341,GPS1_Frame,42.33702,-71.08978666666667,15.6,327841.46458036365,4689311.273662608,19.0,T
1698235997292925574,0,1698235997291852712,GPS1_Frame,42.337001666666666,-71.08976,15.5,327843.6114669217,4689309.18389539,19.0,T
1698235998309778221,0,1698235998308951139,GPS1_Frame,42.33699166666667,-71.08972833333333,15.5,327846.19301730767,4689308.009359079,19.0,T
1698235999293267825,0,1698235999292267322,GPS1_Frame,42.33698833333333,-71.089695,15.7,327848.9300679702,4689307.57173202,19.0,T
1698236000293648803,0,1698236000292661905,GPS1_Frame,42.33699333333333,-71.08966,15.9,327851.82716600236,4689308.056084998,19.0,T
1698236001310643567,0,1698236001309626579,GPS1_Frame,42.337003333333335,-71.08962833333334,16.1,327854.4632925653,4689309.102399368,19.0,T
1698236002310145144,0,1698236002309223175,GPS1_Frame,42.33701833333333,-71.0896,16.2,327856.8384471826,4689310.71067482,19.0,T
1698236003293763457,0,1698236003292721986,GPS1_Frame,42.33703833333333,-71.08957666666667,16.3,327858.81532227417,4689312.884285156,19.0,T
1698236004295377344,0,1698236004294327974,GPS1_Frame,42.33706166666666,-71.08956,16.3,327860.2520628776,4689315.441533444,19.0,T
1698236005294134887,0,1698236005293178558,GPS1_Frame,42.337085,-71.08955166666667,16.2,327861.0022668401,4689318.015652135,19.0,T
1698236006293760484,0,1698236006292727947,GPS1_Frame,42.33711,-71.08955166666667,16.2,327861.07048264204,4689320.791711665,19.0,T
1698236007293676781,0,1698236007292732477,GPS1_Frame,42.337135,-71.08956,16.3,327860.45216336555,4689323.584641397,19.0,T
1698236008294281015,0,1698236008293216228,GPS1_Frame,42.337158333333335,-71.08958,16.3,327858.8681481099,4689326.21611906,19.0,T
1698236009294276057,0,1698236009293272733,GPS1_Frame,42.33718,-71.08961166666667,16.4,327856.3184377938,4689328.686145332,19.0,T
1698236010294498732,0,1698236010293515682,GPS1_Frame,42.33719166666667,-71.08965,16.4,327853.1922141267,4689330.059245509,19.0,T
1698236011294493641,0,1698236011293327808,GPS1_Frame,42.33719166666667,-71.08969333333333,16.3,327849.62223474396,4689330.146975416,19.0,T
1698236012294465704,0,1698236012293513536,GPS1_Frame,42.337181666666666,-71.08973333333333,16.3,327846.29958040745,4689329.117534648,19.0,T
1698236013294493261,0,1698236013293574333,GPS1_Frame,42.33716166666667,-71.08976666666666,16.3,327843.4988636308,4689326.964174044,19.0,T
1698236014294224778,0,1698236014293190956,GPS1_Frame,42.337136666666666,-71.08979166666667,16.3,327841.3710354314,4689324.238730466,19.0,T
1698236015294408419,0,1698236015293414831,GPS1_Frame,42.337106666666664,-71.089805,16.3,327840.19071033684,4689320.934454419,19.0,T
1698236016295882757,0,1698236016295100927,GPS1_Frame,42.33707666666667,-71.089805,16.3,327840.10884144914,4689317.603182939,19.0,T
1698236017295502323,0,1698236017294528961,GPS1_Frame,42.33705,-71.08979333333333,16.2,327840.99721960607,4689314.618431724,19.0,T
1698236018294519127,0,1698236018293518543,GPS1_Frame,42.337025,-71.08977166666666,16.2,327842.71399041126,4689311.7985049235,19.0,T
1698236019294684497,0,1698236019293729782,GPS1_Frame,42.33700833333333,-71.08974166666667,16.2,327845.1400398783,4689309.887060044,19.0,T
1698236020294998536,0,1698236020293963670,GPS1_Frame,42.337,-71.089715,16.3,327847.3142163286,4689308.9077178035,19.0,T
1698236021294803059,0,1698236021293778419,GPS1_Frame,42.336998333333334,-71.08968833333333,16.4,327849.50658539357,4689308.668658794,19.0,T
1698236022294971087,0,1698236022293997764,GPS1_Frame,42.337001666666666,-71.08966,16.4,327851.8499057392,4689308.981438166,19.0,T
1698236023294660105,0,1698236023293697834,GPS1_Frame,42.33701,-71.08962833333334,16.4,327854.4814840821,4689309.8426819015,19.0,T
1698236024295229380,0,1698236024294232845,GPS1_Frame,42.337025,-71.08959666666667,16.4,327857.13125298393,4689311.444209142,19.0,T
1698236025295412346,0,1698236025294440269,GPS1_Frame,42.337048333333335,-71.08956833333333,16.4,327859.52914494945,4689313.977838632,19.0,T
1698236026294949945,0,1698236026294038057,GPS1_Frame,42.33707833333333,-71.08955166666667,16.5,327860.98407596507,4689317.275369596,19.0,T
1698236027295182358,0,1698236027294260263,GPS1_Frame,42.337115,-71.08954833333334,16.5,327861.3587399355,4689321.34017551,19.0,T
1698236028296410668,0,1698236028295461416,GPS1_Frame,42.33715333333333,-71.08955666666667,16.7,327860.7768024961,4689325.613670313,19.0,T
1698236029295823300,0,1698236029295045137,GPS1_Frame,42.33719,-71.08956666666667,16.7,327860.05301130813,4689329.7054686295,19.0,T
1698236030290661250,0,1698236030289678335,GPS1_Frame,42.337228333333336,-71.08958,16.7,327859.0591553014,4689333.989085865,19.0,T
1698236031293566243,0,1698236031292720556,GPS1_Frame,42.337266666666665,-71.08959333333334,16.7,327858.0653007033,4689338.272703301,19.0,T
1698236032293244172,0,1698236032292283058,GPS1_Frame,42.33730666666666,-71.089605,16.8,327857.2133020258,4689342.738017464,19.0,T
1698236033295183110,0,1698236033294245481,GPS1_Frame,42.33734666666667,-71.08962,16.9,327856.0866915311,4689347.210080077,19.0,T
1698236034294201331,0,1698236034293186187,GPS1_Frame,42.33738666666667,-71.08963333333334,16.9,327855.0973891595,4689351.678768774,19.0,T
1698236035294238121,0,1698236035293264627,GPS1_Frame,42.337428333333335,-71.08964666666667,17.0,327854.11263622384,4689356.332528323,19.0,T
1698236036294468652,0,1698236036293484210,GPS1_Frame,42.33747,-71.08965833333333,17.1,327853.2651911253,4689360.98291387,19.0,T
1698236037295294372,0,1698236037294277191,GPS1_Frame,42.337511666666664,-71.08966666666667,17.4,327852.692359789,4689365.626551135,19.0,T
1698236038294430678,0,1698236038293605566,GPS1_Frame,42.33755,-71.08967166666666,17.6,327852.3850456341,4689369.893298735,19.0,T
1698236039294864538,0,1698236039293867826,GPS1_Frame,42.337581666666665,-71.08967666666666,17.7,327852.0595399166,4689373.419763786,19.0,T
1698236040295803829,0,1698236040295112609,GPS1_Frame,42.337605,-71.08968333333334,17.8,327851.57398842403,4689376.024249873,19.0,T
1698236041312346026,0,1698236041311284542,GPS1_Frame,42.337621666666664,-71.08968833333333,17.8,327851.2075510592,4689377.885079149,19.0,T
1698236042295850474,0,1698236042294754028,GPS1_Frame,42.337628333333335,-71.08969166666667,17.7,327850.9511314193,4689378.632110279,19.0,T
1698236043313048356,0,1698236043311938047,GPS1_Frame,42.337628333333335,-71.08969166666667,17.6,327850.9511314193,4689378.632110279,19.0,T
1698236044312970991,0,1698236044311974048,GPS1_Frame,42.337628333333335,-71.08969166666667,17.6,327850.9511314193,4689378.632110279,19.0,T
1698236045295208656,0,1698236045294278144,GPS1_Frame,42.337628333333335,-71.08969166666667,17.6,327850.9511314193,4689378.632110279,19.0,T
1698236046296999367,0,1698236046295952081,GPS1_Frame,42.337628333333335,-71.08969166666667,17.6,327850.9511314193,4689378.632110279,19.0,T
1698236047312133748,0,1698236047311261177,GPS1_Frame,42.337628333333335,-71.08969166666667,17.6,327850.9511314193,4689378.632110279,19.0,T
1698236048295832045,0,1698236048294999599,GPS1_Frame,42.337628333333335,-71.08969333333333,17.9,327850.8138254719,4689378.635484545,19.0,T
1698236049313134817,0,1698236049312276363,GPS1_Frame,42.337628333333335,-71.08969333333333,17.9,327850.8138254719,4689378.635484545,19.0,T
1698236050295865869,0,1698236050294846296,GPS1_Frame,42.337628333333335,-71.08969333333333,17.9,327850.8138254719,4689378.635484545,19.0,T
1698236051295934504,0,1698236051295065402,GPS1_Frame,42.337628333333335,-71.08969333333333,17.9,327850.8138254719,4689378.635484545,19.0,T
1698236052313804464,0,1698236052312829971,GPS1_Frame,42.337628333333335,-71.08969333333333,17.9,327850.8138254719,4689378.635484545,19.0,T
1698236053313783115,0,1698236053312792062,GPS1_Frame,42.33763,-71.089695,17.9,327850.68106760154,4689378.823929464,19.0,T
1698236054296912779,0,1698236054295808553,GPS1_Frame,42.33763833333333,-71.0897,18.0,327850.29189022013,4689379.759405545,19.0,T
1698236055295756519,0,1698236055294826269,GPS1_Frame,42.337651666666666,-71.08971333333334,18.2,327849.22982776957,4689381.266965074,19.0,T
1698236056296724468,0,1698236056295670032,GPS1_Frame,42.33767,-71.08973333333333,18.4,327847.6321868191,4689383.343234048,19.0,T
1698236057296800336,0,1698236057295762538,GPS1_Frame,42.337693333333334,-71.089755,18.6,327845.9108856693,4689385.978089746,19.0,T
1698236058295722961,0,1698236058294806718,GPS1_Frame,42.33772166666667,-71.089775,18.9,327844.340536405,4689389.164783481,19.0,T
1698236059295729371,0,1698236059294760942,GPS1_Frame,42.33775333333333,-71.08979333333333,19.2,327842.9165909579,4689392.718244507,19.0,T
1698236060296018220,0,1698236060295170783,GPS1_Frame,42.337786666666666,-71.08981,19.6,327841.63450103026,4689396.4534020815,19.0,T
1698236061295925218,0,1698236061295119047,GPS1_Frame,42.33781833333333,-71.08982166666667,20.3,327840.7597808372,4689399.99336585,19.0,T
1698236062294901571,0,1698236062293889045,GPS1_Frame,42.33785,-71.08983166666667,20.6,327840.0223671258,4689403.529955278,19.0,T
1698236063295238324,0,1698236063294131755,GPS1_Frame,42.33788333333333,-71.08984,20.8,327839.42680811055,4689407.2482409775,19.0,T
1698236064296595983,0,1698236064295553445,GPS1_Frame,42.337918333333334,-71.08984666666667,21.5,327838.9731036351,4689411.148222909,19.0,T
1698236065295513857,0,1698236065294477462,GPS1_Frame,42.33795333333333,-71.08985166666666,21.8,327838.6567050766,4689415.044830378,19.0,T
1698236066294386106,0,1698236066293375015,GPS1_Frame,42.33799166666667,-71.089855,22.1,327838.48670912324,4689419.308204689,19.0,T
1698236067294632390,0,1698236067293655157,GPS1_Frame,42.338031666666666,-71.08986166666666,22.4,327838.04665191146,4689423.763398783,19.0,T
1698236068295054367,0,1698236068294048309,GPS1_Frame,42.338073333333334,-71.08986833333333,22.6,327837.6111439745,4689428.403663617,19.0,T
1698236069295490938,0,1698236069294480323,GPS1_Frame,42.338115,-71.08987666666667,23.2,327837.0383319643,4689433.0473030945,19.0,T
1698236070295067143,0,1698236070294155836,GPS1_Frame,42.33815666666667,-71.08988833333333,23.7,327836.19091135927,4689437.697691846,19.0,T
1698236071295239471,0,1698236071294362783,GPS1_Frame,42.3382,-71.08990166666666,24.2,327835.2107359861,4689442.53652604,19.0,T
1698236072295301248,0,1698236072294378042,GPS1_Frame,42.33824333333333,-71.089915,24.8,327834.2305622194,4689447.375360449,19.0,T
1698236073295151158,0,1698236073294163465,GPS1_Frame,42.33828666666667,-71.08993166666667,25.3,327832.9757810312,4689452.220944382,19.0,T
1698236074295635646,0,1698236074294742345,GPS1_Frame,42.33833166666667,-71.08995,25.6,327831.5882461043,4689457.25497399,19.0,T
1698236075295312974,0,1698236075294295072,GPS1_Frame,42.338375,-71.08997,25.8,327830.05886037415,4689462.107308012,19.0,T
1698236076296799281,0,1698236076295638561,GPS1_Frame,42.33841666666667,-71.08999,26.1,327828.5249282158,4689466.77457179,19.0,T
1698236077295129174,0,1698236077294095754,GPS1_Frame,42.338456666666666,-71.09001,26.5,327826.9864494875,4689471.256765317,19.0,T
1698236078294130712,0,1698236078293056964,GPS1_Frame,42.338498333333334,-71.09003166666666,26.8,327825.31521776353,4689475.927404773,19.0,T
1698236079294642260,0,1698236079293659448,GPS1_Frame,42.338541666666664,-71.090055,27.0,327823.5112334662,4689480.786490265,19.0,T
1698236080296022381,0,1698236080295113325,GPS1_Frame,42.338585,-71.09007666666666,27.3,327821.8445557771,4689485.642201433,19.0,T
1698236081295946856,0,1698236081295072793,GPS1_Frame,42.33862666666667,-71.09009833333333,27.5,327820.17333159375,4689490.312842417,19.0,T
1698236082296381665,0,1698236082295466661,GPS1_Frame,42.33867166666667,-71.09012333333334,28.0,327818.2366006928,4689495.360375209,19.0,T
1698236083295732158,0,1698236083294813871,GPS1_Frame,42.33871333333333,-71.09014833333333,28.5,327816.29077451664,4689500.037767282,19.0,T
1698236084295849000,0,1698236084295020818,GPS1_Frame,42.33875666666667,-71.09017166666666,28.4,327814.48680386343,4689504.896855639,19.0,T
1698236085297105055,0,1698236085296048402,GPS1_Frame,42.3388,-71.090195,28.6,327812.68283594993,4689509.75594457,19.0,T
1698236086296702159,0,1698236086295817613,GPS1_Frame,42.338845,-71.09022,28.6,327810.7461168013,4689514.803479895,19.0,T
1698236087296593446,0,1698236087295586109,GPS1_Frame,42.33889166666667,-71.09024666666667,28.7,327808.67664688395,4689520.039461743,19.0,T
1698236088294835323,0,1698236088293897867,GPS1_Frame,42.33893833333333,-71.09027333333333,28.6,327806.60718033346,4689525.275444334,19.0,T
1698236089294025797,0,1698236089293197870,GPS1_Frame,42.33898833333333,-71.09030333333334,28.8,327804.27221019776,4689530.888319592,19.0,T
1698236090293730917,0,1698236090292617559,GPS1_Frame,42.33904166666667,-71.09033166666667,29.1,327802.08364617394,4689536.867961867,19.0,T
1698236091309700558,0,1698236091308761835,GPS1_Frame,42.33909333333333,-71.09035833333333,29.3,327800.0278393533,4689542.659158928,19.0,T
1698236092299021563,0,1698236092297990083,GPS1_Frame,42.339145,-71.09038333333334,29.5,327798.1093389208,4689548.446981342,19.0,T
